"Health ProtectorGuard - Gen 2 (CA, OR), Gen 3 (PA), Enhanced Gen 3 (all other Gen 3 states)",,,,,,,,
Golden Rule Insurance Company,,,,,,,,
,,,,,,,,
State,Language,Document Type,Plan Type,Application Number,Part Number,Filename,PDF Link,Effective Date
.All Enhanced Gen 3 States,English,Sample Policy,Enhanced HPG - Gen 3,,52188-G-0526,52188-G202605.pdf,52188-G202605.pdf,5/22/2026
".AZ, FL, TX Only",Spanish,Sample Policy,Enhanced HPG - Gen 3,,52188SP-G-0625,52188SP-G202506.pdf,52188SP-G202506.pdf,4/24/2026
.All Enhanced Gen 3 States,English,Sample Policy - Guard,Enhanced HPG - Gen 3,,52189-G-0526,52189-G202605.pdf,52189-G202605.pdf,5/22/2026
".AZ, FL, TX Only",Spanish,Sample Policy - Guard,Enhanced HPG - Gen 3,,52189SP-G-0625,52189SP-G202506.pdf,52189SP-G202506.pdf,4/24/2026
.All Gen 3 States,English,Sample Questions,HPG - Gen 3,,45980-G-0821,45980-G202108.pdf,45980-G202108.pdf,9/1/2024
".AZ, FL, TX Only",Spanish,Sample Questions,HPG - Gen 3,,45980SP-G-0821,45980SP-G202108.pdf,45980SP-G202108.pdf,3/20/2026
PA Only,English,Sample Policy,HPG - Gen 3,,51310-G-0924,51310-G202409.pdf,51310-G202409.pdf,9/1/2024
PA Only,English,Sample Policy - Guard,HPG - Gen 3,,51311-G-0924,51311-G202409.pdf,51311-G202409.pdf,9/1/2024
AK,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI,763IAK-G-0625,763IAK-G202506.pdf,763IAK-G202506.pdf,6/20/2025
AK,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI,764IAK-G-0126,764IAK-G202601.pdf,764IAK-G202601.pdf,1/23/2026
AK,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
AK,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
AL,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-01,763IAL-G-0625,763IAL-G202506.pdf,763IAL-G202506.pdf,6/20/2025
AL,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-01,764IAL-G-0126,764IAL-G202601.pdf,764IAL-G202601.pdf,1/23/2026
AL,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
AL,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
AR,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-03,763IAR-G-0625,763IAR-G202506.pdf,763IAR-G202506.pdf,6/20/2025
AR,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-03,764IAR-G-0126,764IAR-G202601.pdf,764IAR-G202601.pdf,1/23/2026
AR,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
AR,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
AZ,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-02,763IAZ-G-0625,763IAZ-G202506.pdf,763IAZ-G202506.pdf,6/20/2025
AZ,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-02,764IAZ-G-0126,764IAZ-G202601.pdf,764IAZ-G202601.pdf,1/23/2026
AZ,Spanish,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-02-SP,763IAZSP-G-0625,763IAZSP-G202506.pdf,763IAZSP-G202506.pdf,6/20/2025
AZ,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
AZ,Spanish,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-02-SP,764IAZSP-G-0126,764IAZSP-G202601.pdf,764IAZSP-G202601.pdf,1/23/2026
AZ,Spanish,Brochure,Enhanced HPG - Gen 3,,52001SP-G-0526,52001SP-G202605.pdf,52001SP-G202605.pdf,5/22/2026
AZ,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
AZ,Spanish,Brochure - Guard,Enhanced HPG - Gen 3,,52002SP-G-0526,52002SP-G202605.pdf,52002SP-G202605.pdf,5/22/2026
CA,English,Application,HPG - Gen 2,HPG-AP-166R2-SI-GRI-04R,752ICA-G-0325,752ICA-G202503.pdf,752ICA-G202503.pdf,3/21/2025
CA,English,Brochure,HPG - Gen 2,,47664CA-G-0426,47664CA-G202604.pdf,47664CA-G202604.pdf,4/24/2026
CO,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-05,763ICO-G-1025,763ICO-G202510.pdf,763ICO-G202510.pdf,10/24/2025
CO,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-05,764ICO-G-0126,764ICO-G202601.pdf,764ICO-G202601.pdf,1/23/2026
CO,English,Brochure,Enhanced HPG - Gen 3,,52001CO-G-1025,52001CO-G202510.pdf,52001CO-G202510.pdf,10/24/2025
CO,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002CO-G-1025,52002CO-G202510.pdf,52002CO-G202510.pdf,10/24/2025
DE,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-07,763IDE-G-0625,763IDE-G202506.pdf,763IDE-G202506.pdf,6/20/2025
DE,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-07,764IDE-G-0126,764IDE-G202601.pdf,764IDE-G202601.pdf,1/23/2026
DE,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
DE,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
FL,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-09,763IFL-G-0625,763IFL-G202506.pdf,763IFL-G202506.pdf,6/20/2025
FL,Spanish,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-09-SP,763IFLSP-G-0625,763IFLSP-G202506.pdf,763IFLSP-G202506.pdf,6/20/2025
FL,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
FL,Spanish,Brochure,Enhanced HPG - Gen 3,,52001SP-G-0526,52001SP-G202605.pdf,52001SP-G202605.pdf,5/22/2026
FL,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-09,764IFL-G-0126,764IFL-G202601.pdf,764IFL-G202601.pdf,1/23/2026
FL,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
FL,Spanish,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-09-SP,764IFLSP-G-0126,764IFLSP-G202601.pdf,764IFLSP-G202601.pdf,1/23/2026
FL,Spanish,Brochure - Guard,Enhanced HPG - Gen 3,,52002SP-G-0526,52002SP-G202605.pdf,52002SP-G202605.pdf,5/22/2026
GA,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-10,763IGA-G-0625,763IGA-G202506.pdf,763IGA-G202506.pdf,6/20/2025
GA,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-10,764IGA-G-0126,764IGA-G202601.pdf,764IGA-G202601.pdf,1/23/2026
GA,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
GA,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
HI,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI,763IHI-G-0625,763IHI-G202506.pdf,763IHI-G202506.pdf,6/20/2025
HI,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI,764IHI-G-0126,764IHI-G202601.pdf,764IHI-G202601.pdf,1/23/2026
HI,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
HI,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
IA,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-14(R),763IIA-G-0625,763IIA-G202506.pdf,763IIA-G202506.pdf,6/20/2025
IA,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-14,764IIA-G-0126,764IIA-G202601.pdf,764IIA-G202601.pdf,1/23/2026
IA,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
IA,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
IL,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-12(R),763IIL-G-0625,763IIL-G202506.pdf,763IIL-G202506.pdf,6/20/2025
IL,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-12,764IIL-G-0126,764IIL-G202601.pdf,764IIL-G202601.pdf,1/23/2026
IL,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
IL,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
IN,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI,763IIN-G-0625,763IIN-G202506.pdf,763IIN-G202506.pdf,6/20/2025
IN,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI,764IIN-G-0126,764IIN-G202601.pdf,764IIN-G202601.pdf,1/23/2026
IN,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
IN,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
KY,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-16,763IKY-G-0625,763IKY-G202506.pdf,763IKY-G202506.pdf,6/20/2025
KY,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-16,764IKY-G-0126,764IKY-G202601.pdf,764IKY-G202601.pdf,1/23/2026
KY,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
KY,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
LA,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-17,763ILA-G-0625,763ILA-G202506.pdf,763ILA-G202506.pdf,6/20/2025
LA,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-17,764ILA-G-0126,764ILA-G202601.pdf,764ILA-G202601.pdf,1/23/2026
LA,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
LA,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
MD,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-19,763IMD-G-0526,763IMD-G202503.pdf,763IMD-G202605.pdf,5/22/2026
MD,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-19,764IMD-G-0526,764IMD-G202503.pdf,764IMD-G202605.pdf,5/22/2026
